profile_id,card_id,card_name_cn,orientation,orientation_cn,domain,domain_name_cn,theme,core_reading,base_meaning_reference,keywords_used,tone_hint,allowed_claim_strength,forbidden,general_advice
the_fool_upright_love,the_fool,愚人,upright,正位,love,感情,开始、自由与冒险,愚人（正位）在感情场景中的核心是：开始、自由与冒险。在感情里，它会把“开始、自由”放进关系互动、情绪连接、边界和回应节奏中理解。,愚人正位强调开始、自由与冒险，通常指向一个需要被看见的核心主题。,开始 | 自由 | 冒险 | 未知 | 轻装上阵,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_fool_upright_career,the_fool,愚人,upright,正位,career,事业,开始、自由与冒险,愚人（正位）在事业场景中的核心是：开始、自由与冒险。在事业里，它会把“开始、自由”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,愚人正位强调开始、自由与冒险，通常指向一个需要被看见的核心主题。,开始 | 自由 | 冒险 | 未知 | 轻装上阵,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_fool_upright_self_state,the_fool,愚人,upright,正位,self_state,自我状态,开始、自由与冒险,愚人（正位）在自我状态场景中的核心是：开始、自由与冒险。在自我状态里，它会把“开始、自由”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,愚人正位强调开始、自由与冒险，通常指向一个需要被看见的核心主题。,开始 | 自由 | 冒险 | 未知 | 轻装上阵,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_fool_upright_decision,the_fool,愚人,upright,正位,decision,决策,开始、自由与冒险,愚人（正位）在决策场景中的核心是：开始、自由与冒险。在决策里，它会把“开始、自由”放进选择路径、收益、代价、风险和验证动作中理解。,愚人正位强调开始、自由与冒险，通常指向一个需要被看见的核心主题。,开始 | 自由 | 冒险 | 未知 | 轻装上阵,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_fool_reversed_love,the_fool,愚人,reversed,逆位,love,感情,鲁莽、逃避现实与准备不足,愚人（逆位）在感情场景中的核心是：鲁莽、逃避现实与准备不足。在感情里，它会把“鲁莽、逃避现实”放进关系互动、情绪连接、边界和回应节奏中理解。,愚人逆位强调鲁莽、逃避现实与准备不足，通常提示该主题受阻、失衡或需要重新调整。,鲁莽 | 逃避现实 | 准备不足 | 不计后果 | 幼稚冲动,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_fool_reversed_career,the_fool,愚人,reversed,逆位,career,事业,鲁莽、逃避现实与准备不足,愚人（逆位）在事业场景中的核心是：鲁莽、逃避现实与准备不足。在事业里，它会把“鲁莽、逃避现实”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,愚人逆位强调鲁莽、逃避现实与准备不足，通常提示该主题受阻、失衡或需要重新调整。,鲁莽 | 逃避现实 | 准备不足 | 不计后果 | 幼稚冲动,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_fool_reversed_self_state,the_fool,愚人,reversed,逆位,self_state,自我状态,鲁莽、逃避现实与准备不足,愚人（逆位）在自我状态场景中的核心是：鲁莽、逃避现实与准备不足。在自我状态里，它会把“鲁莽、逃避现实”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,愚人逆位强调鲁莽、逃避现实与准备不足，通常提示该主题受阻、失衡或需要重新调整。,鲁莽 | 逃避现实 | 准备不足 | 不计后果 | 幼稚冲动,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_fool_reversed_decision,the_fool,愚人,reversed,逆位,decision,决策,鲁莽、逃避现实与准备不足,愚人（逆位）在决策场景中的核心是：鲁莽、逃避现实与准备不足。在决策里，它会把“鲁莽、逃避现实”放进选择路径、收益、代价、风险和验证动作中理解。,愚人逆位强调鲁莽、逃避现实与准备不足，通常提示该主题受阻、失衡或需要重新调整。,鲁莽 | 逃避现实 | 准备不足 | 不计后果 | 幼稚冲动,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_magician_upright_love,the_magician,魔术师,upright,正位,love,感情,行动力、显化与资源整合,魔术师（正位）在感情场景中的核心是：行动力、显化与资源整合。在感情里，它会把“行动力、显化”放进关系互动、情绪连接、边界和回应节奏中理解。,魔术师正位强调行动力、显化与资源整合，通常指向一个需要被看见的核心主题。,行动力 | 显化 | 资源整合 | 表达 | 主动创造,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_magician_upright_career,the_magician,魔术师,upright,正位,career,事业,行动力、显化与资源整合,魔术师（正位）在事业场景中的核心是：行动力、显化与资源整合。在事业里，它会把“行动力、显化”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,魔术师正位强调行动力、显化与资源整合，通常指向一个需要被看见的核心主题。,行动力 | 显化 | 资源整合 | 表达 | 主动创造,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
the_magician_upright_self_state,the_magician,魔术师,upright,正位,self_state,自我状态,行动力、显化与资源整合,魔术师（正位）在自我状态场景中的核心是：行动力、显化与资源整合。在自我状态里，它会把“行动力、显化”放进情绪、能量、内在需求、压力来源和自我照顾中理解。,魔术师正位强调行动力、显化与资源整合，通常指向一个需要被看见的核心主题。,行动力 | 显化 | 资源整合 | 表达 | 主动创造,温柔陪伴,medium,心理疾病诊断 | 替代心理治疗 | 羞辱用户 | 把情绪神秘化,先承认感受，再找到一个能落地的照顾动作。
the_magician_upright_decision,the_magician,魔术师,upright,正位,decision,决策,行动力、显化与资源整合,魔术师（正位）在决策场景中的核心是：行动力、显化与资源整合。在决策里，它会把“行动力、显化”放进选择路径、收益、代价、风险和验证动作中理解。,魔术师正位强调行动力、显化与资源整合，通常指向一个需要被看见的核心主题。,行动力 | 显化 | 资源整合 | 表达 | 主动创造,清醒但不替用户决定,medium,替用户做最终决定 | 把牌当唯一依据 | 忽略现实风险 | 绝对化结果,把选项拆成收益、代价、不可接受风险和最小验证。
the_magician_reversed_love,the_magician,魔术师,reversed,逆位,love,感情,空想、操控与资源错配,魔术师（逆位）在感情场景中的核心是：空想、操控与资源错配。在感情里，它会把“空想、操控”放进关系互动、情绪连接、边界和回应节奏中理解。,魔术师逆位强调空想、操控与资源错配，通常提示该主题受阻、失衡或需要重新调整。,空想 | 操控 | 资源错配 | 技巧不足 | 承诺过满,温柔但克制,low_to_medium,断言对方真实想法 | 断言一定复合/分手 | 断言出轨 | 制造等待依赖,回到互动证据、自己的感受和清楚边界。
the_magician_reversed_career,the_magician,魔术师,reversed,逆位,career,事业,空想、操控与资源错配,魔术师（逆位）在事业场景中的核心是：空想、操控与资源错配。在事业里，它会把“空想、操控”放进工作状态、职业路径、资源、能力发挥和现实约束中理解。,魔术师逆位强调空想、操控与资源错配，通常提示该主题受阻、失衡或需要重新调整。,空想 | 操控 | 资源错配 | 技巧不足 | 承诺过满,清醒分析,medium,断言一定录用/升职/裁员 | 替用户做职业决定 | 预测具体薪资 | 忽略现实条件,把感受拆成任务、资源、风险、退路和时间表。
