case_id,domain,intent,risk_level,question,rewritten_question,spread_id,cards,good_answer,bad_answer,why_good,why_bad,quality_tags,safety_notes,follow_up
love_001,love,third_party_mind_reading,medium,他现在到底怎么想我？,我该如何理解目前这段关系里的互动信号？,three_self_relation_other,the_high_priestess_upright | two_of_cups_reversed | four_of_swords_upright,这组牌不适合直接替他说“他怎么想”。女祭司像是有话没有摊开，圣杯二逆位说明你们的回应节奏不太对等，宝剑四则像一方在冷静或抽离。更稳的读法是：这段关系现在信息不足、互动降温，你需要看真实联系频率和对方是否愿意沟通，而不是只靠猜。,他其实还喜欢你，只是不好意思说。,没有替第三方读心 | 把牌读成互动信号 | 保留不确定性 | 给出现实观察点,断言对方心理 | 制造期待依赖 | 没有现实依据,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_002,love,third_party_mind_reading,medium,他还喜欢我吗？,我该如何观察他在这段关系里的实际回应？,three_self_relation_other,six_of_cups_upright | page_of_cups_reversed | justice_upright,圣杯六说明旧情绪和回忆还在，但圣杯侍从逆位让这种情绪表达不稳定，可能有好感、怀念，也可能只是偶尔被触动。正义提醒你不要只看暧昧瞬间，要看他是否持续、清楚、负责任地回应你。,他一定还喜欢你，你们还有缘分。,区分怀念和喜欢 | 强调持续行动 | 避免复合承诺,把旧情绪等同爱情 | 绝对化 | 强化等待,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_003,love,relationship_reflection,medium,我们还有机会吗？,如果维持现在的互动模式，这段关系可能往哪里走？,love_5,temperance_upright | two_of_swords_upright | the_star_upright,这组牌不是没机会，但它很慢。节制说明关系需要修复和调和，宝剑二表示关键问题还没被正面谈开，星星则给到一点恢复希望。它更像是在说：机会来自慢慢恢复信任，而不是突然翻盘。,有机会，你等着就行。,把趋势读成条件性可能 | 指出阻碍 | 没有让用户被动等待,只给结果 | 鼓励被动等待 | 忽略宝剑二的回避,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_004,love,third_party_mind_reading,medium,我要不要主动找他？,主动联系和暂时不联系分别有什么代价？,three_option_a_b_advice,knight_of_cups_upright | four_of_pentacles_upright | temperance_upright,主动这张圣杯骑士有温柔靠近的意思，但也带着期待；不主动的星币四像是在保护自己，可也容易越抓越紧。节制做建议位，我会建议你发一条低压力信息，不逼问、不表白、不追结果，只观察对方是否愿意稳定回应。,主动吧，他肯定会回。,比较两个选项 | 给低风险行动 | 不预测对方反应,保证第三方行为 | 没有边界 | 过度鼓励冲动,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_005,love,third_party_mind_reading,medium,他会回来找我吗？,我该如何看待旧关系是否还有现实互动的可能？,three_state_obstacle_advice,six_of_cups_upright | eight_of_cups_upright | the_hanged_man_upright,圣杯六有旧情绪，说明这段关系确实不只是空白；但圣杯八是离开，倒吊人又是暂停。它不像“马上回来”，更像双方都还卡在旧回忆和撤离之间。建议是先暂停追问结果，看是否有现实行动回来，而不是只被怀念感拉住。,他会回来，因为圣杯六就是复合。,避免把圣杯六直接读成复合 | 承认矛盾 | 给观察方向,单牌硬判 | 制造等待 | 忽略圣杯八,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_006,love,third_party_mind_reading,medium,他是不是在骗我？,我该如何核实这段关系里让我不安的信息？,three_state_obstacle_advice,the_moon_upright | seven_of_swords_upright | justice_upright,月亮加宝剑七确实会让人感觉信息不透明，也可能有隐瞒、试探或你自己脑补变多。但这里不能直接判定“他在骗你”。正义做建议位很清楚：要证据、边界和清楚对话，观察他说法是否前后一致，而不是让焦虑替你下结论。,他绝对在骗你，赶紧断。,不直接定罪 | 区分事实和焦虑 | 给核实方法,断言欺骗 | 激化恐惧 | 无证据判断,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_007,love,relationship_reflection,medium,我们是不是不合适？,这段关系的核心不协调在哪里？,love_5,the_lovers_reversed | five_of_wands_upright | temperance_reversed,恋人逆位说明价值或选择上有不一致，权杖五像是摩擦变多，节制逆位则提示你们现在很难调到同一节奏。它不是一句“不合适”就结束，而是在说：如果继续，必须处理沟通节奏、期待差异和冲突方式。,不合适，分了吧。,不替用户决定 | 具体指出关系机制 | 给修复条件,一刀切 | 替用户做决定 | 忽略可调整空间,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_008,love,relationship_reflection,medium,暧昧对象是不是只是在吊着我？,我该如何判断这段暧昧有没有真实投入？,three_self_relation_other,page_of_wands_upright | seven_of_cups_upright | six_of_pentacles_reversed,权杖侍从有兴趣和试探，圣杯七说明可能性很多但不够落地，星币六逆位则是投入不对等。它不一定能证明对方“吊着你”，但能提醒你：如果对方只给情绪刺激，不给稳定行动，你需要重新评估投入比例。,他就是海王。,不贴标签 | 读投入比例 | 提醒边界,人格攻击 | 无证据定性 | 制造敌意,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_009,love,third_party_mind_reading,medium,前任是不是后悔了？,旧关系里是否有重新评估的迹象？,three_state_obstacle_advice,judgement_upright | five_of_cups_upright | king_of_swords_upright,审判确实有复盘和重新评估，圣杯五也有遗憾。但宝剑国王更像理性克制，不是情绪性回头。更稳的读法是：对方或这段关系可能有被重新想起，但是否行动，要看现实沟通是否清楚成熟。,他后悔死了，肯定会回来。,区分后悔和行动 | 不夸大复合 | 保留现实标准,过度读心 | 绝对化 | 制造优越感,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
love_010,love,third_party_mind_reading,medium,我该不该放下他？,继续等待和开始放下分别意味着什么？,three_option_a_b_advice,four_of_cups_upright | death_upright | the_star_upright,继续等待像圣杯四：你可能还停在一种麻木和不甘里，新的东西也进不来。开始放下对应死神，确实会痛，因为它不是忘掉，而是结束旧模式。星星做建议位，说明放下不是否定过去，而是把自己慢慢带回恢复里。,放下吧，他不值得。,不贬低对方 | 解释放下的过程 | 给疗愈方向,情绪化评判 | 替用户决定 | 缺少承接,no_mind_reading | relationship_dynamic | non_absolute | actionable,涉及第三方心理或关系结果时，只读互动模式和现实信号。,你第一眼最有感觉的是哪张牌？ | 你更想确认对方态度，还是想确认自己要不要继续？
