card_id,name_cn,name_en,arcana,suit,rank,element,upright_keywords,reversed_keywords,visual_summary,base_upright_meaning,base_reversed_meaning
the_fool,愚人,The Fool,major,,,,开始 | 自由 | 冒险 | 未知 | 轻装上阵,鲁莽 | 逃避现实 | 准备不足 | 不计后果 | 幼稚冲动,站在悬崖边的人带着小包袱出发，旁边的小狗像提醒也像陪伴。,愚人正位强调开始、自由与冒险，通常指向一个需要被看见的核心主题。,愚人逆位强调鲁莽、逃避现实与准备不足，通常提示该主题受阻、失衡或需要重新调整。
the_magician,魔术师,The Magician,major,,,,行动力 | 显化 | 资源整合 | 表达 | 主动创造,空想 | 操控 | 资源错配 | 技巧不足 | 承诺过满,人物一手指天一手指地，桌上摆着四元素，强调把想法落到现实。,魔术师正位强调行动力、显化与资源整合，通常指向一个需要被看见的核心主题。,魔术师逆位强调空想、操控与资源错配，通常提示该主题受阻、失衡或需要重新调整。
the_high_priestess,女祭司,The High Priestess,major,,,,直觉 | 隐秘 | 潜意识 | 等待 | 内在智慧,信息不明 | 压抑直觉 | 回避真相 | 过度猜测 | 表里不一,女祭司坐在两根柱子之间，帷幕后像藏着还未揭开的信息。,女祭司正位强调直觉、隐秘与潜意识，通常指向一个需要被看见的核心主题。,女祭司逆位强调信息不明、压抑直觉与回避真相，通常提示该主题受阻、失衡或需要重新调整。
the_empress,女皇,The Empress,major,,,,滋养 | 丰盛 | 创造 | 身体感受 | 关系温度,过度付出 | 依赖 | 匮乏感 | 创造力堵塞 | 照顾失衡,丰饶自然中的女性形象，强调生长、感受和被滋养。,女皇正位强调滋养、丰盛与创造，通常指向一个需要被看见的核心主题。,女皇逆位强调过度付出、依赖与匮乏感，通常提示该主题受阻、失衡或需要重新调整。
the_emperor,皇帝,The Emperor,major,,,,秩序 | 边界 | 责任 | 结构 | 掌控,僵硬 | 控制欲 | 权威压迫 | 规则失灵 | 缺乏弹性,坐在坚硬王座上的权威人物，代表结构、规则和承担。,皇帝正位强调秩序、边界与责任，通常指向一个需要被看见的核心主题。,皇帝逆位强调僵硬、控制欲与权威压迫，通常提示该主题受阻、失衡或需要重新调整。
the_hierophant,教皇,The Hierophant,major,,,,传统 | 制度 | 学习 | 规范 | 精神秩序,反传统 | 不合群 | 僵化信念 | 质疑权威 | 方法更新,宗教/制度中的导师形象，强调知识传承与规则系统。,教皇正位强调传统、制度与学习，通常指向一个需要被看见的核心主题。,教皇逆位强调反传统、不合群与僵化信念，通常提示该主题受阻、失衡或需要重新调整。
the_lovers,恋人,The Lovers,major,,,,关系 | 选择 | 吸引 | 价值一致 | 亲密连接,失衡 | 犹豫 | 价值冲突 | 关系脱节 | 错误选择,两个人在天使注视下相对而立，关系与选择同时出现。,恋人正位强调关系、选择与吸引，通常指向一个需要被看见的核心主题。,恋人逆位强调失衡、犹豫与价值冲突，通常提示该主题受阻、失衡或需要重新调整。
the_chariot,战车,The Chariot,major,,,,推进 | 意志 | 胜利 | 控制方向 | 克服阻力,失控 | 方向混乱 | 硬撑 | 内耗 | 冲动推进,驾驶战车的人需要驾驭两股力量，靠意志让方向一致。,战车正位强调推进、意志与胜利，通常指向一个需要被看见的核心主题。,战车逆位强调失控、方向混乱与硬撑，通常提示该主题受阻、失衡或需要重新调整。
strength,力量,Strength,major,,,,温柔的力量 | 耐心 | 自控 | 勇气 | 驯服本能,压抑 | 失去耐心 | 内在怯懦 | 情绪失控 | 强撑,女子温柔地抚住狮子，真正的力量不是压制，而是驯服。,力量正位强调温柔的力量、耐心与自控，通常指向一个需要被看见的核心主题。,力量逆位强调压抑、失去耐心与内在怯懦，通常提示该主题受阻、失衡或需要重新调整。
the_hermit,隐士,The Hermit,major,,,,独处 | 内省 | 寻找答案 | 抽离 | 成熟智慧,孤立 | 逃避连接 | 迷失 | 过度封闭 | 不愿求助,老人提灯站在山巅，像是在安静地寻找内在方向。,隐士正位强调独处、内省与寻找答案，通常指向一个需要被看见的核心主题。,隐士逆位强调孤立、逃避连接与迷失，通常提示该主题受阻、失衡或需要重新调整。
