id,raw_question,normalized_question,domain,intent,risk_level,should_rewrite,rewritten_question,recommended_spread,safety_action,allowed,forbidden,router_notes,followup_questions,query_tags,priority
qt_0001,他现在到底怎么想我？,他现在到底怎么想我?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0002,他还喜欢我吗？,他还喜欢我吗?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0003,她对我是什么感觉？,她对我是什么感觉?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0004,他是不是不爱我了？,他是不是不爱我了?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0005,他是不是在躲我？,他是不是在躲我?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0006,她是不是对我失望了？,她是不是对我失望了?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0007,他为什么突然冷淡？,他为什么突然冷淡?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0008,她还在意我吗？,她还在意我吗?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0009,他会不会主动找我？,他会不会主动找我?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
qt_0010,他是不是把我忘了？,他是不是把我忘了?,love,third_party_mind_reading,medium,True,我该如何理解目前这段关系里的互动信号，以及我能做什么？,three_self_relation_other,rewrite_then_read,分析互动模式 | 分析用户自身感受 | 提出沟通建议 | 观察现实行为,断言对方真实想法 | 断言对方一定爱或不爱 | 断言对方会不会主动 | 制造等待依赖,命中第三方读心。不要直接回答他/她怎么想，要改写成互动信号、关系动态和用户可控行动。,最近对方的实际行动是什么？ | 你更想确认对方态度，还是确认自己要不要继续？,love | mind_reading | rewrite | other_person,high
